feature,importance
pred_fnn,0.8083832093522089
fraud_feature_categorical_critical_v35,0.18517936274713678
fraud_feature_discrete_critical_v148,0.1640153673440043
fraud_feature_categorical_critical_v36,0.14377854026462308
fraud_feature_categorical_high_v53,0.13962428582488903
fraud_feature_discrete_critical_v149,0.12039694233727843
fraud_feature_discrete_critical_v155,0.10833695938920407
identity_id_17,0.10374239985446404
fraud_feature_discrete_critical_v189,0.1031871574515148
fraud_feature_discrete_critical_v153,0.091770533224085
fraud_feature_discrete_medium_v191,0.08254725933569405
email_match_flag,0.08128074376882427
email_domain_risk,0.0801124229147472
fraud_feature_discrete_medium_v256,0.06372727912757316
fraud_feature_discrete_high_v124,0.06289434940266407
fraud_feature_discrete_medium_v139,0.061669427680761224
fraud_feature_discrete_critical_v123,0.059794939490994486
fraud_feature_discrete_medium_v254,0.057274277210471604
fraud_feature_discrete_critical_v200,0.056540004542888864
fraud_feature_discrete_critical_v87,0.055536140085247085
fraud_feature_categorical_medium_v3,0.053262912573478226
fraud_feature_discrete_critical_v243,0.050374977258132954
fraud_feature_discrete_critical_v45,0.050201727130361244
fraud_feature_discrete_critical_v197,0.050003210524832475
fraud_feature_categorical_medium_v88,0.0490764953368028
fraud_feature_discrete_critical_v190,0.04860549474073248
fraud_feature_discrete_critical_v188,0.0451214880476442
fraud_feature_discrete_critical_v257,0.04254087378496697
fraud_feature_discrete_critical_v198,0.03774414861166528
fraud_feature_discrete_medium_v55,0.03458966292880885
fraud_feature_discrete_high_v245,0.0317700945665706
fraud_feature_discrete_critical_v154,0.03062869873134675
fraud_feature_discrete_critical_v228,0.029699693919690427
fraud_feature_discrete_critical_v195,0.028819979871140336
pred_xgb_smote,0.028325872752607947
fraud_feature_categorical_medium_v25,0.026990450532889662
fraud_feature_discrete_critical_v258,0.02694443011737358
pred_lstm,0.02653881348045513
fraud_feature_categorical_critical_v47,0.02570258017432235
fraud_feature_discrete_high_v248,0.02558287922404119
fraud_feature_discrete_low_v26,0.024823044941039825
fraud_feature_categorical_medium_v9,0.02477662770808556
fraud_feature_categorical_medium_v115,0.024559601095052955
fraud_feature_categorical_high_v7,0.024019838005637367
fraud_feature_discrete_critical_v86,0.023210014860728496
pred_cnn,0.022958455195375198
fraud_feature_discrete_medium_v255,0.022793906196700343
fraud_feature_discrete_critical_v199,0.02226032677647007
fraud_feature_categorical_high_v83,0.022156059713332572
fraud_feature_discrete_critical_v23,0.019958890616270625
fraud_feature_discrete_medium_v196,0.019787919262307465
fraud_feature_discrete_low_v193,0.019387619956104024
fraud_feature_discrete_medium_v290,0.019343433615941433
fraud_feature_discrete_high_v140,0.017584325349598244
fraud_feature_categorical_critical_v108,0.01714488965982489
fraud_feature_discrete_critical_v244,0.01711852845198682
fraud_feature_discrete_critical_v252,0.016919526951512533
fraud_feature_discrete_critical_v186,0.01566020475823569
fraud_feature_categorical_critical_v113,0.014926151915417084
fraud_feature_categorical_medium_v41,0.01465326126134713
fraud_feature_discrete_critical_v262,0.014113250594591255
fraud_feature_discrete_medium_v20,0.013938753826766641
fraud_feature_categorical_critical_v112,0.012839977116611083
fraud_feature_categorical_critical_v110,0.012535287376287136
fraud_feature_discrete_critical_v176,0.012514085540813725
fraud_feature_discrete_high_v62,0.012499752602110505
fraud_feature_categorical_medium_v6,0.01246681430648536
fraud_feature_categorical_high_v82,0.012185004454866977
fraud_feature_discrete_critical_v242,0.012085415548164826
pred_lr,0.011921319498042482
fraud_feature_categorical_critical_v111,0.011311887475827509
fraud_feature_discrete_critical_v170,0.010546305059409773
fraud_feature_categorical_critical_v114,0.010100635170247731
pred_cnn_bilstm,0.009933359801906901
fraud_feature_categorical_medium_v66,0.009518701044322753
fraud_feature_discrete_high_v249,0.008193214335693545
distance_feature_d9,0.008178652952594472
fraud_feature_categorical_critical_v194,0.006853544409868036
identity_id_13,0.006478017440277371
fraud_feature_categorical_low_v122,0.006421440011673578
pred_rf,0.006321498382333337
pred_xgb,0.006012849223730541
fraud_feature_categorical_critical_v260,0.00578271488308167
fraud_feature_categorical_medium_v14,0.0056956004895065615
fraud_feature_discrete_critical_v38,0.005681816437314601
fraud_feature_categorical_medium_v107,0.004877589811542747
fraud_feature_categorical_high_v61,0.004699188360042778
fraud_feature_categorical_medium_v2,0.004203859060289432
fraud_feature_categorical_high_v119,0.003821699022698241
identity_id_11,0.00287802929266563
fraud_feature_categorical_medium_v120,0.0025677933046654973
fraud_feature_categorical_low_v240,0.002451324671478976
fraud_feature_categorical_low_v241,0.0017176829268940191
fraud_feature_discrete_critical_v78,0.0015860254265074782
pred_catboost,0.0014037244653079272
fraud_feature_categorical_high_v67,0.0010423413678037384
fraud_feature_categorical_low_v1,0.0008429623800210651
fraud_feature_categorical_high_v19,0.0007644570604571172
fraud_feature_discrete_critical_v201,0.000675701213274408
fraud_feature_categorical_medium_v118,0.0006613568039893025
pred_bilstm,0.00013232940675950188
fraud_feature_categorical_low_v305,8.614740600615713e-20
